id:[303054868]; subdetid:[1]; layer:[1]; ladder:[ 4]; module:[5]; phi:[+1.5731859207153320,+2.0599961280822754]; z:[+0.1099998950958252,+6.5900001525878906]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303054872]; subdetid:[1]; layer:[1]; ladder:[ 4]; module:[6]; phi:[+1.5731859207153320,+2.0599961280822754]; z:[+6.8100004196166992,+13.2899999618530273]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303054876]; subdetid:[1]; layer:[1]; ladder:[ 4]; module:[7]; phi:[+1.5731859207153320,+2.0599961280822754]; z:[+13.5100002288818359,+19.9899997711181641]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303054880]; subdetid:[1]; layer:[1]; ladder:[ 4]; module:[8]; phi:[+1.5731859207153320,+2.0599961280822754]; z:[+20.2100009918212891,+26.6900005340576172]; r:[3.3608739376068115,3.3885409832000732]; 
id:[303058948]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[1]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[-26.6900005340576172,-20.2100009918212891]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058952]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[2]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[-19.9899997711181641,-13.5100002288818359]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058956]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[3]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[-13.2899999618530273,-6.8100004196166992]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058960]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[4]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[-6.5900001525878906,-0.1099998950958252]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058964]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[5]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[+0.1099998950958252,+6.5900001525878906]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058968]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[6]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[+6.8100004196166992,+13.2899999618530273]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058972]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[7]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[+13.5100002288818359,+19.9899997711181641]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303058976]; subdetid:[1]; layer:[1]; ladder:[ 5]; module:[8]; phi:[+2.0512104034423828,+2.6291692256927490]; z:[+20.2100009918212891,+26.6900005340576172]; r:[2.8423631191253662,2.8696930408477783]; 
id:[303063044]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[1]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[-26.6900005340576172,-20.2100009918212891]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063048]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[2]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[-19.9899997711181641,-13.5100002288818359]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063052]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[3]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[-13.2899999618530273,-6.8100004196166992]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063056]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[4]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[-6.5900001525878906,-0.1099998950958252]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063060]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[5]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[+0.1099998950958252,+6.5900001525878906]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063064]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[6]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[+6.8100004196166992,+13.2899999618530273]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063068]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[7]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[+13.5100002288818359,+19.9899997711181641]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303063072]; subdetid:[1]; layer:[1]; ladder:[ 6]; module:[8]; phi:[+2.6035385131835938,+3.1240384578704834]; z:[+20.2100009918212891,+26.6900005340576172]; r:[3.1478052139282227,3.1753542423248291]; 
id:[303067140]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[1]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[-26.6900005340576172,-20.2100009918212891]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067144]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[2]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[-19.9899997711181641,-13.5100002288818359]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067148]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[3]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[-13.2899999618530273,-6.8100004196166992]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067152]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[4]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[-6.5900001525878906,-0.1099998950958252]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067156]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[5]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[+0.1099998950958252,+6.5900001525878906]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067160]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[6]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[+6.8100004196166992,+13.2899999618530273]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067164]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[7]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[+13.5100002288818359,+19.9899997711181641]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303067168]; subdetid:[1]; layer:[1]; ladder:[ 7]; module:[8]; phi:[+3.0984079837799072,-2.6068186759948730]; z:[+20.2100009918212891,+26.6900005340576172]; r:[2.8423633575439453,2.8696932792663574]; 
id:[303071236]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[1]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[-26.6900005340576172,-20.2100009918212891]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071240]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[2]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[-19.9899997711181641,-13.5100002288818359]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071244]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[3]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[-13.2899999618530273,-6.8100004196166992]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071248]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[4]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[-6.5900001525878906,-0.1099998950958252]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071252]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[5]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[+0.1099998950958252,+6.5900001525878906]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071256]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[6]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[+6.8100004196166992,+13.2899999618530273]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071260]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[7]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[+13.5100002288818359,+19.9899997711181641]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303071264]; subdetid:[1]; layer:[1]; ladder:[ 8]; module:[8]; phi:[-2.6324491500854492,-2.1119492053985596]; z:[+20.2100009918212891,+26.6900005340576172]; r:[3.1478054523468018,3.1753542423248291]; 
id:[303075332]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[1]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[-26.6900005340576172,-20.2100009918212891]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303075336]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[2]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[-19.9899997711181641,-13.5100002288818359]; r:[2.8423633575439453,2.8696930408477783]; 
id:[303075340]; subdetid:[1]; layer:[1]; ladder:[ 9]; module:[3]; phi:[-2.1375799179077148,-1.5596209764480591]; z:[-13.2899999618530273,-6.8100004196166992]; r:[2.8423633575439453,2.8696930408477783]; 
